Supabase Snippet Organization Usage Lookup (3)
id,created_at,,company_id,type,content,attribute,,updated_at,,original_timestamp,value,
dabf3bbf-d617-4bdc-9241-3d9636242767,2025-05-22 01:05:33.035165+00,,0196217c-c242-751f-9252-5029f7abc91e,CumulativeMetric,at risk - Card Spend Degradation - Max Trailing 60-Day Settled Card Spend,Max Trailing 60-Day Settled Card Spend,,2025-05-22 01:05:33.035165+00,,2025-05-01 20:42:37.808078+00,"$100,187.00",
365c75e3-09ce-4e79-9906-edf77e7045f4,2025-05-22 14:17:19.039632+00,,0196217c-c242-751f-9252-5029f7abc91e,CumulativeMetric,at risk - Bank Balance Degradation - Max Average 30-Day Total Bank Balance,Max Average 30-Day Total Bank Balance,,2025-05-22 14:17:19.039632+00,,2025-05-01 20:42:37.808078+00,"$317,567.00",
a0c407f8-9688-45bc-b0a2-3e60fcf9b67e,2025-05-22 14:17:18.908915+00,,0196217c-c242-751f-9252-5029f7abc91e,CumulativeMetric,at risk - Bank Balance Degradation - Total Bank Balance Today,Total Bank Balance Today,,2025-05-22 14:17:18.908915+00,,2025-05-01 20:42:37.808078+00,"$124,217.00",
8fb4cb52-623c-4caa-99fb-e194942bbf3c,2025-05-24 21:02:28.005946+00,,0196217a-30d6-77e9-be9e-75b799fb4297,CumulativeMetric,Recording at-risk metric from Looker from the report: Logos At Risk Of Churning 1 for this value: Max Average 30-Day Total Bank Balance,Max Average 30-Day Total Bank Balance,,2025-05-24 21:02:28.005946+00,,2025-05-24 21:01:34.437062+00,"$40,000.00",
adee1277-964a-480a-9daf-9ec45bc59a06,2025-05-24 21:02:27.809417+00,,0196217a-30d6-77e9-be9e-75b799fb4297,Metric,Recording at-risk metric from Looker from the report: Logos At Risk Of Churning 1 for this value: Initial Activation Date,Initial Activation Date,,2025-05-24 21:02:27.809417+00,,2025-05-24 21:01:34.437062+00,2024-11-26,
932c4c42-ac6d-4c74-ae6a-b9cd62da32d0,2025-05-24 21:02:27.906696+00,,0196217a-30d6-77e9-be9e-75b799fb4297,CumulativeMetric,Recording at-risk metric from Looker from the report: Logos At Risk Of Churning 1 for this value: Consecutive Days 0,Consecutive Days 0,,2025-05-24 21:02:27.906696+00,,2025-05-24 21:01:34.437062+00,18,
d98fe5a1-e9c1-4f75-be8a-1a56a3ec147d,2025-05-24 21:02:28.101469+00,,0196217a-30d6-77e9-be9e-75b799fb4297,CumulativeMetric,Recording at-risk metric from Looker from the report: Logos At Risk Of Churning 1 for this value: Max Trailing 60-Day Settled Card Spend,Max Trailing 60-Day Settled Card Spend,,2025-05-24 21:02:28.101469+00,,2025-05-24 21:01:34.437062+00,$0.00,
504655c8-6a57-47fa-a9bb-df5a5db8eb9f,2025-05-22 14:12:47.786195+00,,0196217c-c242-751f-9252-5029f7abc91e,CumulativeMetric,at risk - Total Bank Balance Flag Last 30 Days - Max Average 30-Day Total Bank Balance,Max Average 30-Day Total Bank Balance,,2025-05-22 14:12:47.786195+00,,2025-05-01 20:42:37.808078+00,"$317,497.00",
c2a1a7c1-efd4-4295-a06e-8f4f18d19252,2025-05-22 14:12:47.479887+00,,0196217c-c242-751f-9252-5029f7abc91e,Metric,at risk - Total Bank Balance Flag Last 30 Days - First 50 Pct Bank Balance Decrease Date,First 50 Pct Bank Balance Decrease Date,,2025-05-22 14:12:47.479887+00,,2025-05-01 20:42:37.808078+00,2025-04-16,
0c2244f9-e7c3-4cd1-87f0-b043e66deb18,2025-05-22 16:36:27.798161+00,,0196217c-c242-751f-9252-5029f7abc91e,Metric,at risk - Total Bank Balance Flag Last 30 Days - First 50 Pct Bank Balance Decrease Date,First 50 Pct Bank Balance Decrease Date,,2025-05-22 16:36:27.798161+00,,2025-05-01 21:01:06.73053+00,2025-04-16,
bebdb529-a5e9-4983-9932-aeba57f4eefe,2025-05-22 14:12:47.628051+00,,0196217c-c242-751f-9252-5029f7abc91e,CumulativeMetric,at risk - Total Bank Balance Flag Last 30 Days - Total Bank Balance Today,Total Bank Balance Today,,2025-05-22 14:12:47.628051+00,,2025-05-01 20:42:37.808078+00,"$112,217.00",
c390578f-b657-41eb-b9b3-df619c98aa77,2025-05-22 16:36:28.058214+00,,0196217c-c242-751f-9252-5029f7abc91e,CumulativeMetric,at risk - Total Bank Balance Flag Last 30 Days - Max Average 30-Day Total Bank Balance,Max Average 30-Day Total Bank Balance,,2025-05-22 16:36:28.058214+00,,2025-05-01 21:01:06.73053+00,"$327,497.00",
25f7b8ec-f607-4b19-8a64-7ea891f3ee36,2025-05-24 21:03:48.038625+00,,0196217a-3641-7b3b-a8b3-ecdfce86162c,CumulativeMetric,Recording at-risk metric from Looker from the report: Total Bank Balance Flag Last 30 Days for this value: Total Bank Balance Today,Total Bank Balance Today,,2025-05-24 21:03:48.038625+00,,2025-05-24 21:01:34.437062+00,$0.00,
778851a4-f848-4afd-b6f5-8119db8396c4,2025-05-24 21:03:48.13273+00,,0196217a-3641-7b3b-a8b3-ecdfce86162c,CumulativeMetric,Recording at-risk metric from Looker from the report: Total Bank Balance Flag Last 30 Days for this value: Max Average 30-Day Total Bank Balance,Max Average 30-Day Total Bank Balance,,2025-05-24 21:03:48.13273+00,,2025-05-24 21:01:34.437062+00,"$1,254.00",
7d822d45-e607-4e29-8c4b-dd9408696476,2025-05-24 21:03:47.943491+00,,0196217a-3641-7b3b-a8b3-ecdfce86162c,Metric,Recording at-risk metric from Looker from the report: Total Bank Balance Flag Last 30 Days for this value: First 50 Pct Bank Balance Decrease Date,First 50 Pct Bank Balance Decrease Date,,2025-05-24 21:03:47.943491+00,,2025-05-24 21:01:34.437062+00,2025-05-11,
0654d0ae-d4f8-4f53-a35b-50cb43281cdc,2025-05-24 21:03:50.943583+00,,0196217a-30d6-77e9-be9e-75b799fb4297,CumulativeMetric,Recording at-risk metric from Looker from the report: Total Bank Balance Flag Last 30 Days for this value: Total Bank Balance Today,Total Bank Balance Today,,2025-05-24 21:03:50.943583+00,,2025-05-24 21:01:34.437062+00,$0.00,
550c65c2-36c1-41f5-9da6-7fdc97fc35eb,2025-05-24 21:03:50.841688+00,,0196217a-30d6-77e9-be9e-75b799fb4297,Metric,Recording at-risk metric from Looker from the report: Total Bank Balance Flag Last 30 Days for this value: First 50 Pct Bank Balance Decrease Date,First 50 Pct Bank Balance Decrease Date,,2025-05-24 21:03:50.841688+00,,2025-05-24 21:01:34.437062+00,2025-05-11,
6bb8e91f-f1d8-41ff-9094-a301ffccfbab,2025-05-22 16:37:12.954361+00,,0196217c-c242-751f-9252-5029f7abc91e,CumulativeMetric,at risk - Bank Balance Degradation - Max Average 30-Day Total Bank Balance,Max Average 30-Day Total Bank Balance,,2025-05-22 16:37:12.954361+00,,2025-05-01 21:01:06.73053+00,"$327,497.00",
947c3b1a-d562-4ecc-9ec7-a642c24ab463,2025-05-24 21:04:32.441202+00,,0196217c-c242-751f-9252-5029f7abc91e,CumulativeMetric,Recording at-risk metric from Looker from the report: Bank Balance Degradation for this value: Total Bank Balance Today,Total Bank Balance Today,,2025-05-24 21:04:32.441202+00,,2025-05-24 21:01:34.437062+00,"$104,389.00",
051ba40b-41c0-41ca-852d-94b0577fcb1f,2025-05-24 21:04:32.532507+00,,0196217c-c242-751f-9252-5029f7abc91e,CumulativeMetric,Recording at-risk metric from Looker from the report: Bank Balance Degradation for this value: Max Average 30-Day Total Bank Balance,Max Average 30-Day Total Bank Balance,,2025-05-24 21:04:32.532507+00,,2025-05-24 21:01:34.437062+00,"$327,497.00",
a54a57a0-8d4d-4ff7-b3d9-faaedbc612db,2025-05-22 16:51:33.351363+00,,0196217c-c242-751f-9252-5029f7abc91e,Metric,at risk - Total Bank Balance Flag Last 30 Days - First 50 Pct Bank Balance Decrease Date,First 50 Pct Bank Balance Decrease Date,,2025-05-22 16:51:33.351363+00,,2025-05-02 21:00:53.450777+00,2025-04-16,
747565d6-4672-4b03-97a5-0f314ab36c21,2025-05-22 16:50:10.348295+00,,0196217c-c242-751f-9252-5029f7abc91e,CumulativeMetric,at risk - Bank Balance Degradation - Total Bank Balance Today,Total Bank Balance Today,,2025-05-22 16:50:10.348295+00,,2025-05-02 21:00:53.450777+00,"$115,017.00",
566b120e-bd2d-474c-bcea-7fa265051ddf,2025-05-22 16:50:10.425414+00,,0196217c-c242-751f-9252-5029f7abc91e,CumulativeMetric,at risk - Bank Balance Degradation - Max Average 30-Day Total Bank Balance,Max Average 30-Day Total Bank Balance,,2025-05-22 16:50:10.425414+00,,2025-05-02 21:00:53.450777+00,"$327,497.00",
b187a32e-df9d-442b-89b2-06ad84671b55,2025-05-25 21:02:03.428441+00,,0196217a-30d6-77e9-be9e-75b799fb4297,CumulativeMetric,Recording at-risk metric from Looker from the report: Logos At Risk Of Churning 1 for this value: Consecutive Days 0,Consecutive Days 0,,2025-05-25 21:02:03.428441+00,,2025-05-25 21:01:30.304101+00,17,
48b263a9-4780-4644-b6f2-eeb118377502,2025-05-25 21:03:48.479194+00,,0196217c-c242-751f-9252-5029f7abc91e,CumulativeMetric,Recording at-risk metric from Looker from the report: Card Spend Degradation for this value: Trailing 60-Day Settled Card Spend,Trailing 60-Day Settled Card Spend,,2025-05-25 21:03:48.479194+00,,2025-05-25 21:01:30.304101+00,"$44,518.00",
e6ed7b50-3c48-4bd3-b1c4-298b4a54f870,2025-06-01 21:01:47.146682+00,,0196217c-c242-751f-9252-5029f7abc91e,CumulativeMetric,Recording at-risk metric from Looker from the report: Card Spend Degradation for this value: Trailing 60-Day Settled Card Spend,Trailing 60-Day Settled Card Spend,,2025-06-01 21:01:47.146682+00,,2025-06-01 21:01:25.170932+00,"$44,787.00",
9d4699ab-73e1-40a5-bbc2-38b985f48f58,2025-05-25 21:03:48.5873+00,,0196217c-c242-751f-9252-5029f7abc91e,CumulativeMetric,Recording at-risk metric from Looker from the report: Card Spend Degradation for this value: Max Trailing 60-Day Settled Card Spend,Max Trailing 60-Day Settled Card Spend,,2025-05-25 21:03:48.5873+00,,2025-05-25 21:01:30.304101+00,"$100,387.00",
7eea88f9-00f4-4b19-ba7c-fb824214abf9,2025-05-22 16:55:15.614034+00,,0196217c-c242-751f-9252-5029f7abc91e,Metric,at risk - Total Bank Balance Flag Last 30 Days - First 50 Pct Bank Balance Decrease Date,First 50 Pct Bank Balance Decrease Date,,2025-05-22 16:55:15.614034+00,,2025-05-03 21:00:36.219343+00,2025-04-16,
80fb9d14-c4dc-45f4-b55f-9505518cd0b8,2025-05-26 21:01:28.082636+00,,0196217c-c242-751f-9252-5029f7abc91e,CumulativeMetric,Recording at-risk metric from Looker from the report: Card Spend Degradation for this value: Trailing 60-Day Settled Card Spend,Trailing 60-Day Settled Card Spend,,2025-05-26 21:01:28.082636+00,,2025-05-26 21:01:06.88358+00,"$44,432.00",
49fb8cef-fc1f-4e1f-a66f-6fb2954c9dc8,2025-05-22 16:55:15.854757+00,,0196217c-c242-751f-9252-5029f7abc91e,CumulativeMetric,at risk - Total Bank Balance Flag Last 30 Days - Max Average 30-Day Total Bank Balance,Max Average 30-Day Total Bank Balance,,2025-05-22 16:55:15.854757+00,,2025-05-03 21:00:36.219343+00,"$327,497.00",
c3bfe838-6716-4186-8583-f749d41eedc9,2025-05-26 21:02:19.318327+00,,0196217a-30d6-77e9-be9e-75b799fb4297,CumulativeMetric,Recording at-risk metric from Looker from the report: Total Bank Balance Flag Last 30 Days for this value: Total Bank Balance Today,Total Bank Balance Today,,2025-05-26 21:02:19.318327+00,,2025-05-26 21:01:06.88358+00,$0.00,
cd9f2184-897f-4faa-a9a2-5144d82faac3,2025-05-26 21:02:19.978809+00,,0196217a-3641-7b3b-a8b3-ecdfce86162c,CumulativeMetric,Recording at-risk metric from Looker from the report: Total Bank Balance Flag Last 30 Days for this value: Max Average 30-Day Total Bank Balance,Max Average 30-Day Total Bank Balance,,2025-05-26 21:02:19.978809+00,,2025-05-26 21:01:06.88358+00,"$1,254.00",
d1407b88-7ed3-4a83-9e11-ae1b455eaa43,2025-05-26 21:02:19.883751+00,,0196217a-3641-7b3b-a8b3-ecdfce86162c,CumulativeMetric,Recording at-risk metric from Looker from the report: Total Bank Balance Flag Last 30 Days for this value: Total Bank Balance Today,Total Bank Balance Today,,2025-05-26 21:02:19.883751+00,,2025-05-26 21:01:06.88358+00,$0.00,
a88a62e8-4656-4a46-b3e2-edabb9e6dd62,2025-05-26 21:02:19.781618+00,,0196217a-3641-7b3b-a8b3-ecdfce86162c,Metric,Recording at-risk metric from Looker from the report: Total Bank Balance Flag Last 30 Days for this value: First 50 Pct Bank Balance Decrease Date,First 50 Pct Bank Balance Decrease Date,,2025-05-26 21:02:19.781618+00,,2025-05-26 21:01:06.88358+00,2025-05-11,
23f503ed-48a7-4729-8d30-a13564b93ae3,2025-05-26 21:02:19.220688+00,,0196217a-30d6-77e9-be9e-75b799fb4297,Metric,Recording at-risk metric from Looker from the report: Total Bank Balance Flag Last 30 Days for this value: First 50 Pct Bank Balance Decrease Date,First 50 Pct Bank Balance Decrease Date,,2025-05-26 21:02:19.220688+00,,2025-05-26 21:01:06.88358+00,2025-05-11,
6ab3702d-3082-4999-871c-628a82a2680d,2025-05-22 16:57:56.756689+00,,0196217c-c242-751f-9252-5029f7abc91e,CumulativeMetric,at risk - Total Bank Balance Flag Last 30 Days - Total Bank Balance Today,Total Bank Balance Today,,2025-05-22 16:57:56.756689+00,,2025-05-04 21:01:15.535796+00,"$107,750.00",
3ecc218f-3b9a-45e0-8503-69f140f8a907,2025-05-26 21:02:19.411923+00,,0196217a-30d6-77e9-be9e-75b799fb4297,CumulativeMetric,Recording at-risk metric from Looker from the report: Total Bank Balance Flag Last 30 Days for this value: Max Average 30-Day Total Bank Balance,Max Average 30-Day Total Bank Balance,,2025-05-26 21:02:19.411923+00,,2025-05-26 21:01:06.88358+00,"$30,000.00",
386ad6ad-590a-4ed8-aa67-7360612de8e0,2025-05-22 16:57:56.698032+00,,0196217c-c242-751f-9252-5029f7abc91e,Metric,at risk - Total Bank Balance Flag Last 30 Days - First 50 Pct Bank Balance Decrease Date,First 50 Pct Bank Balance Decrease Date,,2025-05-22 16:57:56.698032+00,,2025-05-04 21:01:15.535796+00,2025-04-16,
17981c70-ebe2-4154-8c8f-7d8316790014,2025-05-26 21:03:17.030162+00,,0196217a-30d6-77e9-be9e-75b799fb4297,CumulativeMetric,Recording at-risk metric from Looker from the report: Logos At Risk Of Churning 1 for this value: Max Trailing 60-Day Settled Card Spend,Max Trailing 60-Day Settled Card Spend,,2025-05-26 21:03:17.030162+00,,2025-05-26 21:01:06.88358+00,$0.00,
caf53d5f-31b0-43de-9d6d-0d4b5ed4444a,2025-05-26 21:03:16.771155+00,,0196217a-30d6-77e9-be9e-75b799fb4297,Metric,Recording at-risk metric from Looker from the report: Logos At Risk Of Churning 1 for this value: Initial Activation Date,Initial Activation Date,,2025-05-26 21:03:16.771155+00,,2025-05-26 21:01:06.88358+00,2024-11-26,
27cb2de5-1495-442a-ba53-365c4ceedaf8,2025-05-26 21:03:16.868031+00,,0196217a-30d6-77e9-be9e-75b799fb4297,CumulativeMetric,Recording at-risk metric from Looker from the report: Logos At Risk Of Churning 1 for this value: Consecutive Days 0,Consecutive Days 0,,2025-05-26 21:03:16.868031+00,,2025-05-26 21:01:06.88358+00,18,
9338454b-a9e3-4a47-bc1b-c3ce7f1cb0f0,2025-05-22 17:03:15.97495+00,,0196217c-c242-751f-9252-5029f7abc91e,Metric,at risk - Total Bank Balance Flag Last 30 Days - First 50 Pct Bank Balance Decrease Date,First 50 Pct Bank Balance Decrease Date,,2025-05-22 17:03:15.97495+00,,2025-05-05 21:00:41.44367+00,2025-04-16,
1eda79df-be54-4349-b821-96665dd10335,2025-05-22 17:03:48.265395+00,,0196217c-c242-751f-9252-5029f7abc91e,CumulativeMetric,at risk - Bank Balance Degradation - Max Average 30-Day Total Bank Balance,Max Average 30-Day Total Bank Balance,,2025-05-22 17:03:48.265395+00,,2025-05-05 21:00:41.44367+00,"$327,497.00",
b57c6004-284e-4421-94f1-b775b9f61f70,2025-05-22 17:05:33.077802+00,,0196217c-c242-751f-9252-5029f7abc91e,CumulativeMetric,at risk - Bank Balance Degradation - Max Average 30-Day Total Bank Balance,Max Average 30-Day Total Bank Balance,,2025-05-22 17:05:33.077802+00,,2025-05-06 21:01:41.297333+00,"$327,497.00",
d90b27ae-100d-4619-ba44-e3fb5cf1d424,2025-05-22 17:08:54.447046+00,,0196217c-c242-751f-9252-5029f7abc91e,Metric,at risk - Total Bank Balance Flag Last 30 Days - First 50 Pct Bank Balance Decrease Date,First 50 Pct Bank Balance Decrease Date,,2025-05-22 17:08:54.447046+00,,2025-05-06 21:01:41.297333+00,2025-04-16,
3f5c74ff-5be5-4664-accb-bbad6225ea4d,2025-05-22 17:08:54.648269+00,,0196217c-c242-751f-9252-5029f7abc91e,CumulativeMetric,at risk - Total Bank Balance Flag Last 30 Days - Max Average 30-Day Total Bank Balance,Max Average 30-Day Total Bank Balance,,2025-05-22 17:08:54.648269+00,,2025-05-06 21:01:41.297333+00,"$327,497.00",
23683ebf-84c3-489e-a24b-85128a2cd020,2025-05-22 17:09:56.666454+00,,0196217c-c242-751f-9252-5029f7abc91e,CumulativeMetric,at risk - Bank Balance Degradation - Max Average 30-Day Total Bank Balance,Max Average 30-Day Total Bank Balance,,2025-05-22 17:09:56.666454+00,,2025-05-07 21:01:28.105038+00,"$327,497.00",
947f23fd-b6d2-4df4-8a02-f6347ce46c6a,2025-05-27 21:02:34.671197+00,,0196217a-30d6-77e9-be9e-75b799fb4297,CumulativeMetric,Recording at-risk metric from Looker from the report: Logos At Risk Of Churning 1 for this value: Consecutive Days 0,Consecutive Days 0,,2025-05-27 21:02:34.671197+00,,2025-05-27 21:01:58.989032+00,19,
224fb31e-bc4b-4499-a6ab-edc507a03d18,2025-05-31 21:01:26.470567+00,,0196217a-30d6-77e9-be9e-75b799fb4297,CumulativeMetric,Recording at-risk metric from Looker from the report: Logos At Risk Of Churning for this value: Consecutive Days 0,Consecutive Days 0,,2025-05-31 21:01:26.470567+00,,2025-05-31 21:01:12.178908+00,23,
948b3359-e9d4-41ef-8281-49ea42338d55,2025-05-27 21:03:38.485528+00,,0196217c-c242-751f-9252-5029f7abc91e,CumulativeMetric,Recording at-risk metric from Looker from the report: Bank Balance Degradation for this value: Total Bank Balance Today,Total Bank Balance Today,,2025-05-27 21:03:38.485528+00,,2025-05-27 21:01:58.989032+00,"$100,260.00",
4a425c4f-71d7-4636-9dea-cb93de15238e,2025-05-27 21:03:38.594921+00,,0196217c-c242-751f-9252-5029f7abc91e,CumulativeMetric,Recording at-risk metric from Looker from the report: Bank Balance Degradation for this value: Max Average 30-Day Total Bank Balance,Max Average 30-Day Total Bank Balance,,2025-05-27 21:03:38.594921+00,,2025-05-27 21:01:58.989032+00,"$327,497.00",
23f9a68e-4ade-4bfa-932d-dddd38e6efd1,2025-05-22 17:12:09.98962+00,,0196217c-c242-751f-9252-5029f7abc91e,CumulativeMetric,at risk - Total Bank Balance Flag Last 30 Days - Max Average 30-Day Total Bank Balance,Max Average 30-Day Total Bank Balance,,2025-05-22 17:12:09.98962+00,,2025-05-07 21:01:28.105038+00,"$327,497.00",
